Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

10-12-2024  1:24AM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  WarpSE.ngd
output file: WarpSE_pad.csv
Part type:   xc95144xl
Speed grade: -10
Package:     tq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P35,nROMOE,O,I/O,OUTPUT,,,,,,,,,
P36,nCAS,O,I/O,OUTPUT,,,,,,,,,
P37,nOE,O,I/O,OUTPUT,,,,,,,,,
P38,VCC,,VCCIO,,,,,,,,,,
P39,TIE,,I/O,,,,,,,,,,
P40,RA<4>,O,I/O,OUTPUT,,,,,,,,,
P41,RA<3>,O,I/O,OUTPUT,,,,,,,,,
P42,RA<5>,O,I/O,OUTPUT,,,,,,,,,
P43,RA<2>,O,I/O,OUTPUT,,,,,,,,,
P44,GND,,GND,,,,,,,,,,
P45,TDI,,TDI,,,,,,,,,,
P46,RA<6>,O,I/O,OUTPUT,,,,,,,,,
P47,TMS,,TMS,,,,,,,,,,
P48,TCK,,TCK,,,,,,,,,,
P49,TIE,,I/O,,,,,,,,,,
P50,RA<1>,O,I/O,OUTPUT,,,,,,,,,
P51,VCC,,VCCIO,,,,,,,,,,
P52,RA<7>,O,I/O,OUTPUT,,,,,,,,,
P53,RA<0>,O,I/O,OUTPUT,,,,,,,,,
P54,RA<8>,O,I/O,OUTPUT,,,,,,,,,
P55,RA<10>,O,I/O,OUTPUT,,,,,,,,,
P56,RA<9>,O,I/O,OUTPUT,,,,,,,,,
P57,VCC,,VCCINT,,,,,,,,,,
P58,MCKE,O,I/O,OUTPUT,,,,,,,,,
P59,RnW_IOB,O,I/O,OUTPUT,,,,,,,,,
P60,GA<23>,O,I/O,OUTPUT,,,,,,,,,
P61,GA<22>,O,I/O,OUTPUT,,,,,,,,,
P62,GND,,GND,,,,,,,,,,
P63,RA<11>,O,I/O,OUTPUT,,,,,,,,,
P64,nRAS,O,I/O,OUTPUT,,,,,,,,,
P65,nRAMLWE,O,I/O,OUTPUT,,,,,,,,,
P66,nRAMUWE,O,I/O,OUTPUT,,,,,,,,,
P67,TIE,,I/O,,,,,,,,,,
P68,TIE,,I/O,,,,,,,,,,
P69,GND,,GND,,,,,,,,,,
P70,nBERR_FSB,O,I/O,OUTPUT,,,,,,,,,
P71,TIE,,I/O,,,,,,,,,,
P72,nBR_IOB,O,I/O,OUTPUT,,,,,,,,,
P73,TIE,,I/O,,,,,,,,,,
P74,nVMA_IOB,O,I/O,OUTPUT,,,,,,,,,
P75,GND,,GND,,,,,,,,,,
P76,nBERR_IOB,I,I/O,INPUT,,,,,,,,,
P77,nVPA_IOB,I,I/O,INPUT,,,,,,,,,
P78,nDTACK_IOB,I,I/O,INPUT,,,,,,,,,
P79,nLDS_IOB,O,I/O,OUTPUT,,,,,,,,,
P80,nUDS_IOB,O,I/O,OUTPUT,,,,,,,,,
P81,nAS_IOB,O,I/O,OUTPUT,,,,,,,,,
P82,nADoutLE1,O,I/O,OUTPUT,,,,,,,,,
P83,TDO,,TDO,,,,,,,,,,
P84,GND,,GND,,,,,,,,,,
P85,nADoutLE0,O,I/O,OUTPUT,,,,,,,,,
P86,nDinLE,O,I/O,OUTPUT,,,,,,,,,
P87,nAoutOE,O,I/O,OUTPUT,,,,,,,,,
P88,VCC,,VCCIO,,,,,,,,,,
P89,nDoutOE,O,I/O,OUTPUT,,,,,,,,,
P90,nDinOE,O,I/O,OUTPUT,,,,,,,,,
P91,nRES,I/O,I/O,BIDIR,,,,,,,,,
P92,nIPL2,I,I/O,INPUT,,,,,,,,,
P93,nVPA_FSB,O,I/O,OUTPUT,,,,,,,,,
P94,A_FSB<1>,I,I/O,INPUT,,,,,,,,,
P95,A_FSB<2>,I,I/O,INPUT,,,,,,,,,
P96,A_FSB<3>,I,I/O,INPUT,,,,,,,,,
P97,A_FSB<4>,I,I/O,INPUT,,,,,,,,,
P98,VCC,,VCCINT,,,,,,,,,,
P99,TIE,,I/O/GSR,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,

To preserve the pinout above for future design iterations in
Project Navigator simply execute the (Lock Pins) process
located under the (Implement Design) process in a toolbox named
(Optional Implementation Tools) or invoke PIN2UCF from the
command line. The location constraints will be written into your
specified UCF file


